Occupation	index_inches	Gender_dominance_Number_MALE	Gender_dominance_Number_FEMALE	Gender_dominance_%_MALE	Gender_dominance_%_FEMALE	Glass_cieling_%>180k_MALE	Glass_cieling_%>180k_FEMALE	Glass_cieling_RATIO_>180k	Glass_cieling_%>80k_MALE	Glass_cieling_%>80k_FEMALE	Glass_cieling_RATIO_>80k	Real Income_2009_MALE	Real Income_2009_FEMALE	Real Income_2009_DIFF	Real Income_2013_MALE	Real Income_2013_FEMALE	Real Income_2013_DIFF	Progress_DOLLARS	Progress_PERCENT
Early Childhood (Pre-primary School) Teachers	8.5	4815	2244	0.68	0.32	0.1	0.05	2.18	0.53	0.21	2.49	83523	57851	25672	77892	68845	9047	16625	0.65
Primary School Teachers	8.3	1925	5500	0.26	0.74	0.13	0.07	1.86	0.58	0.31	1.87	75096	65884	9212	82107	72683	9424	-212	-0.02
Middle School Teachers (Aus) / Intermediate School Teachers (NZ)	9.1	3274	6072	0.35	0.65	0.12	0.04	2.81	0.33	0.29	1.14	79841	63910	15931	76016	71174	4842	11089	0.7
Secondary School Teachers	3.7	4503	4507	0.5	0.5	0.14	0.05	2.84	0.54	0.26	2.08	70223	55782	14441	79006	68175	10831	3609	0.25
Special Education Teachers	6.5	7925	1446	0.85	0.15	0.14	0.05	2.85	0.4	0.42	0.94	71278	63394	7883	83876	64170	19706	-11822	-1.5
"Teacher - other school, ATO"	5.1	9146	6092	0.6	0.4	0.11	0.07	1.53	0.42	0.22	1.89	84825	57632	27192	76386	61920	14466	12727	0.47
University Lecturers and Tutors	7.0	8832	6809	0.56	0.44	0.1	0.06	1.63	0.49	0.33	1.47	77620	65581	12039	89478	59177	30301	-18262	-1.52
Vocational Education Teachers (Aus) / Polytechnic Teachers (NZ)	9.5	4936	5380	0.48	0.52	0.11	0.02	5.18	0.46	0.29	1.59	79707	57816	21890	79247	66089	13157	8733	0.4
Education Advisers and Reviewers	6.7	7402	4287	0.63	0.37	0.15	0.02	6.55	0.51	0.47	1.08	81128	62888	18240	81125	59415	21710	-3470	-0.19
Private Tutors and Teachers	6.4	1331	2532	0.34	0.66	0.11	0.06	1.89	0.49	0.43	1.14	76947	65288	11660	84194	67193	17001	-5342	-0.46
Teachers of English to Speakers of Other Languages	2.9	7930	1985	0.8	0.2	0.13	0.03	4.85	0.53	0.28	1.87	71239	57232	14007	85320	64212	21108	-7101	-0.51
Dietitians	9.6	4558	5878	0.44	0.56	0.15	0.03	4.32	0.44	0.48	0.91	82697	59456	23241	87925	72894	15031	8211	0.35
Medical Imaging Professionals	0.1	9454	4764	0.66	0.34	0.11	0.04	3.06	0.34	0.48	0.71	72257	63673	8584	79191	61532	17658	-9074	-1.06
Occupational and Environmental Health Professionals	1.3	5727	2677	0.68	0.32	0.11	0.04	2.93	0.51	0.45	1.12	73917	65737	8180	86826	61976	24849	-16670	-2.04
Optometrists and Orthoptists	1.4	3618	4588	0.44	0.56	0.13	0.05	2.39	0.36	0.28	1.27	80855	65271	15583	79554	71552	8002	7581	0.49
Pharmacists	2.6	7237	1616	0.82	0.18	0.11	0.02	5.11	0.37	0.23	1.6	77279	61635	15644	80430	63070	17360	-1716	-0.11
Other Health Diagnostic and Promotion Professionals	7.7	7231	1864	0.8	0.2	0.13	0.04	3.53	0.59	0.3	1.93	82590	63765	18825	76783	64914	11869	6956	0.37
Chiropractors and Osteopaths	4.9	7646	2662	0.74	0.26	0.12	0.07	1.84	0.4	0.35	1.14	73687	60360	13327	83627	62182	21446	-8119	-0.61
Complementary Health Therapists	7.3	4479	6397	0.41	0.59	0.12	0.03	3.95	0.31	0.49	0.63	76964	67787	9177	77662	67560	10102	-924	-0.1
Dental Practitioners	7.0	3781	3824	0.5	0.5	0.13	0.03	4.46	0.35	0.44	0.81	82549	63322	19227	82720	70910	11810	7417	0.39
Occupational Therapists	1.4	9608	3133	0.75	0.25	0.14	0.03	4.99	0.49	0.39	1.25	74005	61434	12571	77761	60052	17709	-5138	-0.41
Physiotherapists	7.3	9040	3685	0.71	0.29	0.1	0.02	4.35	0.58	0.47	1.23	72975	64462	8513	79667	58588	21080	-12567	-1.48
Podiatrists	7.2	2639	2540	0.51	0.49	0.15	0.06	2.43	0.37	0.23	1.64	76601	63368	13233	87726	59207	28520	-15287	-1.16
Speech Professionals and Audiologists	4.3	1408	1307	0.52	0.48	0.12	0.03	4.58	0.44	0.39	1.13	81387	64370	17017	82176	61887	20289	-3272	-0.19
Medical Practitioners	2.8	8484	6157	0.58	0.42	0.1	0.03	3.22	0.34	0.38	0.9	84784	57917	26867	80289	65983	14306	12561	0.47
Generalist Medical Practitioners	4.8	8137	2633	0.76	0.24	0.12	0.06	1.98	0.59	0.27	2.19	73002	59240	13762	82779	63215	19564	-5803	-0.42
Anaesthetists	4.2	2135	1335	0.62	0.38	0.1	0.05	1.89	0.41	0.44	0.93	84127	69820	14307	79822	67461	12361	1947	0.14
Internal Medicine Specialists	0.3	8375	5800	0.59	0.41	0.15	0.03	5.35	0.44	0.32	1.39	72045	58899	13146	84490	69143	15346	-2200	-0.17
Psychiatrists	5.0	7923	6802	0.54	0.46	0.12	0.02	5.08	0.57	0.48	1.18	78765	69987	8778	88654	62716	25937	-17159	-1.95
Surgeons	8.2	10071	3060	0.77	0.23	0.14	0.03	4.57	0.59	0.4	1.48	74907	58758	16149	77875	69027	8848	7301	0.45
Other Medical Practitioners	8.5	4230	5024	0.46	0.54	0.11	0.03	3.78	0.44	0.29	1.5	82294	55312	26982	79848	68027	11822	15160	0.56
Midwifery and Nursing Professionals	5.8	6722	3479	0.66	0.34	0.15	0.04	3.54	0.59	0.32	1.86	70504	68746	1759	81450	61709	19741	-17982	-10.23
Midwives	4.3	7659	6186	0.55	0.45	0.1	0.07	1.49	0.35	0.34	1.01	79656	66877	12779	78107	71455	6651	6127	0.48
Nurse Educators and Researchers	8.7	4641	2452	0.65	0.35	0.14	0.07	2.08	0.43	0.47	0.91	80024	63123	16901	78566	63945	14621	2279	0.13
Nurse Managers	9.9	3091	2119	0.59	0.41	0.15	0.03	4.99	0.44	0.47	0.93	80061	56550	23511	86761	71640	15121	8390	0.36
Registered Nurses	8.8	5693	4536	0.56	0.44	0.12	0.02	5.29	0.59	0.21	2.82	81773	69168	12605	88148	59126	29021	-16417	-1.3
ICT Professionals	1.5	8182	6157	0.57	0.43	0.15	0.06	2.41	0.31	0.32	0.96	77601	61045	16556	85008	69143	15865	691	0.04
"Business and Systems Analysts, and Programmers"	5.5	6450	5278	0.55	0.45	0.14	0.04	3.14	0.59	0.23	2.58	76316	63932	12384	78154	65718	12436	-52	0
ICT Business and Systems Analysts	3.2	4944	6322	0.44	0.56	0.11	0.05	2.22	0.37	0.41	0.92	84867	64750	20117	75824	60390	15434	4683	0.23
Multimedia Specialists and Web Developers	2.4	8997	5069	0.64	0.36	0.13	0.03	4.12	0.56	0.35	1.6	79248	63526	15721	76073	67967	8107	7614	0.48
Software and Applications Programmers	3.1	3631	1211	0.75	0.25	0.14	0.06	2.48	0.57	0.4	1.42	77162	55246	21916	77699	70618	7081	14835	0.68
"Database and Systems Administrators, and ICT Security Specialists"	2.3	8885	4781	0.65	0.35	0.15	0.05	2.85	0.45	0.35	1.3	80027	62895	17132	81953	59639	22315	-5182	-0.3
Computer Network Professionals	8.7	4654	1194	0.8	0.2	0.15	0.07	2.2	0.48	0.45	1.07	72024	64684	7340	86171	69924	16247	-8907	-1.21
ICT Support and Test Engineers	5.6	8238	2451	0.77	0.23	0.12	0.07	1.79	0.37	0.41	0.9	72011	69952	2059	77063	59498	17565	-15507	-7.53
Telecommunications Engineering Professionals	3.5	2239	2814	0.44	0.56	0.15	0.03	4.22	0.44	0.33	1.32	83356	59731	23625	83047	64038	19009	4616	0.2
Barristers	7.3	4211	3633	0.54	0.46	0.11	0.07	1.63	0.6	0.43	1.41	83295	57467	25828	88031	71329	16702	9126	0.35
Judicial and Other Legal Professionals	5.6	6861	5715	0.55	0.45	0.11	0.06	1.84	0.46	0.24	1.89	78137	57103	21034	77510	63431	14079	6955	0.33
Solicitors	3.9	3859	4632	0.45	0.55	0.12	0.05	2.18	0.33	0.48	0.68	84717	57339	27378	79227	67053	12174	15205	0.56
Counsellors	6.1	1659	4854	0.25	0.75	0.13	0.06	2.03	0.52	0.38	1.37	84345	63584	20761	79388	61139	18249	2512	0.12
Ministers of Religion	8.2	4774	6716	0.42	0.58	0.13	0.04	3.18	0.43	0.45	0.96	72113	62474	9640	81144	68745	12399	-2759	-0.29
Psychologists	5.7	8805	6926	0.56	0.44	0.13	0.04	3.28	0.41	0.24	1.69	78877	59315	19562	78765	58602	20163	-600	-0.03
Social Professionals	0.6	1976	6135	0.24	0.76	0.12	0.04	3.09	0.36	0.46	0.77	81236	67270	13966	86948	59585	27362	-13396	-0.96
Social Workers	6.3	4240	6401	0.4	0.6	0.13	0.04	2.91	0.56	0.43	1.31	73864	67023	6841	76825	70207	6618	223	0.03
"Welfare, Recreation and Community Arts Workers"	5.3	4738	2062	0.7	0.3	0.11	0.06	1.81	0.4	0.35	1.17	83379	58106	25273	86737	62675	24062	1211	0.05
Agricultural Technicians	9.7	9946	3308	0.75	0.25	0.11	0.03	4.39	0.33	0.42	0.77	78144	65495	12650	88484	71138	17346	-4696	-0.37
Medical Technicians	1.6	9001	5898	0.6	0.4	0.12	0.06	1.98	0.35	0.32	1.09	72078	64888	7190	85729	72552	13177	-5987	-0.83
Primary Products Inspectors	2.8	3936	1295	0.75	0.25	0.13	0.03	4.45	0.32	0.38	0.85	74160	63582	10578	80434	72311	8124	2454	0.23
Science Technicians	7.5	6117	2353	0.72	0.28	0.12	0.04	2.83	0.43	0.22	1.98	84315	60730	23585	84183	65093	19090	4495	0.19
Building and Engineering Technicians	9.1	8670	1514	0.85	0.15	0.15	0.04	4.2	0.6	0.42	1.44	77251	58511	18740	76688	62735	13954	4786	0.26
"Architectural, Building and Surveying Technicians"	8.2	7646	2474	0.76	0.24	0.13	0.06	2.19	0.59	0.23	2.56	81058	59465	21593	77268	63586	13682	7912	0.37
Civil Engineering Draftspersons and Technicians	4.6	2846	4652	0.38	0.62	0.14	0.05	2.5	0.57	0.36	1.57	74793	65565	9229	80825	67863	12963	-3734	-0.4
Electrical Engineering Draftspersons and Technicians	4.2	8961	1394	0.87	0.13	0.11	0.02	4.54	0.45	0.37	1.23	75268	66386	8882	83997	61325	22672	-13791	-1.55
Electronic Engineering Draftspersons and Technicians	9.3	7524	1149	0.87	0.13	0.12	0.07	1.78	0.47	0.39	1.2	81822	67447	14375	88548	72328	16221	-1845	-0.13
Mechanical Engineering Draftspersons and Technicians	10.0	3417	6539	0.34	0.66	0.1	0.06	1.79	0.52	0.37	1.42	72658	69848	2810	87639	66689	20949	-18139	-6.45
Safety Inspectors	1.9	7150	1616	0.82	0.18	0.12	0.05	2.29	0.45	0.41	1.1	84039	60172	23867	88766	62705	26061	-2194	-0.09
Other Building and Engineering Technicians	9.7	5542	4139	0.57	0.43	0.14	0.04	3.8	0.54	0.28	1.9	72454	65327	7126	81552	67641	13911	-6784	-0.95
ICT Support Technicians	6.0	8352	3896	0.68	0.32	0.12	0.05	2.66	0.56	0.24	2.35	80167	61205	18962	88594	70449	18145	817	0.04
Telecommunications Technical Specialists	6.0	2048	5143	0.28	0.72	0.1	0.03	3.55	0.58	0.43	1.35	72070	69515	2555	87694	63937	23757	-21202	-8.3
